App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5892470,HDR,08/03/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5904965,HDR,08/16/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924081,HDR,10/17/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5919288,HDR,08/31/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5910188,HDR,08/21/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5897080,HDR,08/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5903959,HDR,08/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5918439,HDR,08/27/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5909356,HDR,08/20/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5922527,HDR,10/02/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5924724,HDR,10/25/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920186,HDR,09/11/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922900,HDR,10/06/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5924706,HDR,10/25/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5901561,HDR,08/13/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920187,HDR,09/11/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5898276,HDR,08/11/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable,10/27/2018 12:00:30 PM
5909024,HDR,08/18/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923153,HDR,10/09/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5909557,HDR,08/20/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5897649,HDR,08/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5903981,HDR,08/14/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5918977,HDR,08/29/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924168,HDR,10/18/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5890637,HDR,07/30/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,"Fingerprints, copy of DMV lic, other. Visit www.nyc.gov/tlcup",10/27/2018 12:00:30 PM
5919301,HDR,08/31/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5893084,HDR,08/06/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5888673,HDR,07/19/2018,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921864,HDR,09/26/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922960,HDR,10/07/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5921886,HDR,09/27/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5895915,HDR,08/09/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5890424,HDR,07/27/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5919100,HDR,08/29/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922991,HDR,10/08/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924732,HDR,10/25/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924881,HDR,10/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923628,HDR,10/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5896454,HDR,08/10/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5898617,HDR,08/12/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,10/27/2018 12:00:30 PM
5924035,HDR,10/17/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5893648,HDR,08/07/2018,Pending Fitness Interview,10/30/2018,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5919148,HDR,08/29/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924795,HDR,10/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5918364,HDR,08/27/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924385,HDR,10/22/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5923977,HDR,10/17/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5922667,HDR,10/03/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5895853,HDR,08/09/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5893175,HDR,08/06/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922770,HDR,10/04/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5892186,HDR,08/02/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924541,HDR,10/23/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5922800,HDR,10/05/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922629,HDR,10/03/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5921861,HDR,09/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920983,HDR,09/18/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5919456,HDR,09/03/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5890917,HDR,07/30/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5922722,HDR,10/04/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5922125,HDR,09/29/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922538,HDR,10/03/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5919855,HDR,09/07/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923754,HDR,10/15/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5900435,HDR,08/13/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920714,HDR,09/16/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5850205,HDR,02/07/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5902399,HDR,08/14/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5920726,HDR,09/16/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5900788,HDR,08/13/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924876,HDR,10/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5888846,HDR,07/20/2018,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5905067,HDR,08/16/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5886504,HDR,07/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922354,HDR,10/01/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5920872,HDR,09/17/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5923279,HDR,10/10/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5922918,HDR,10/06/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5919235,HDR,08/30/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921427,HDR,09/23/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5914156,HDR,08/23/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5899732,HDR,08/13/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5888808,HDR,07/20/2018,Denied,Not Applicable,Complete,Complete,Needed,Needed,Complete,Copy of DMV license needed,10/27/2018 12:00:30 PM
5889377,HDR,07/23/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5888440,HDR,07/19/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922334,HDR,10/01/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,10/27/2018 12:00:30 PM
5900615,HDR,08/13/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924793,PDR,10/26/2018,Incomplete,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5919281,HDR,08/31/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5899246,HDR,08/12/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922913,HDR,10/06/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921408,HDR,09/22/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924436,HDR,10/22/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5923765,HDR,10/15/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5920052,HDR,09/10/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5924635,HDR,10/24/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920268,HDR,09/11/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5890305,HDR,07/27/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5922882,HDR,10/06/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922436,HDR,10/02/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5891085,HDR,07/31/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5885928,HDR,07/07/2018,Pending Fitness Interview,10/29/2018,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922526,HDR,10/02/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5899292,HDR,08/13/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924472,HDR,10/22/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,10/27/2018 12:00:30 PM
5922929,HDR,10/07/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921539,HDR,09/24/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5863961,HDR,04/03/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921258,HDR,09/20/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5919954,HDR,09/08/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,10/27/2018 12:00:30 PM
5886701,HDR,07/11/2018,Denied,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920797,HDR,09/17/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923313,HDR,10/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5886459,HDR,07/10/2018,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924709,HDR,10/25/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923003,HDR,10/08/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5919241,HDR,08/30/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5921437,HDR,09/23/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5896452,HDR,08/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5922953,HDR,10/07/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5923771,HDR,10/15/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5923195,HDR,10/10/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5924624,HDR,10/24/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5886819,HDR,07/11/2018,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5910227,HDR,08/21/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5909068,HDR,08/18/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5912470,HDR,08/22/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5922799,HDR,10/05/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5922798,HDR,10/05/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5886943,HDR,07/11/2018,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924256,HDR,10/19/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,10/27/2018 12:00:30 PM
5921059,HDR,09/19/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5890546,HDR,07/29/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5918967,HDR,08/28/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5921491,HDR,09/24/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5904282,HDR,08/14/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,10/27/2018 12:00:30 PM
5886949,HDR,07/12/2018,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5920369,VDR,09/12/2018,Approved - License Issued,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Not Applicable,10/27/2018 12:00:30 PM
5921422,HDR,09/23/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5922807,HDR,10/05/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,10/27/2018 12:00:30 PM
5923775,HDR,10/15/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5924895,HDR,10/27/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5890421,HDR,07/27/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,10/27/2018 12:00:30 PM
5894407,HDR,08/07/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5920649,HDR,09/14/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
5892923,HDR,08/05/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,10/27/2018 12:00:30 PM
